Opponent Decklist,Result
Alpine Moon | Mountain | Stromkirk Noble,-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Hidetsugu Consumes All | Shadowblood Ridge,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Hexdrinker | Thoughtseize,0.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",0.0
Cenn's Tactician | Curse of Silence | Plains,0.5
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Path to Exile | Snow-Covered Plains,1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,0.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Karakas | Meddling Mage | Mox Sapphire,0.5
Ocelot Pride | Path to Exile | Plains,1.0
Sand Silos | Saprazzan Cove | Trench Behemoth,-1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,-0.5
