Opponent Decklist,Result
Akoum Warrior | Glimpse of Tomorrow | Pinnacle Monk,0.0
Bandit's Talent | Blinkmoth Nexus | Mox Jet,0.0
Bandit's Talent | Mox Jet | Mutavault,0.0
Blazing Hope | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
Blazing Rootwalla | Dismember | Mountain,0.0
Bond Beetle | Forest | Mistbreath Elder,0.0
"Boseiju, Who Endures | Dryad Arbor | Grist, Voracious Larva",0.0
Cavern of Souls | Forest | Hexdrinker,0.0
Claws of Gix | Descent into Avernus | Dwarven Hold,-1.0
Cruel Sadist | Ebon Stronghold | Mortuary Mire,0.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.0
Flash | Phyrexian Triniform | Sand Silos,-0.5
Flash | Saprazzan Skerry | Woodfall Primus,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Heartfire Hero | Leather Armor | Mountain,0.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,0.0
Kuldotha Rebirth | Leyline of the Meek | Mox Ruby,-1.0
Mana Tithe | Mox Pearl | Restore Balance,0.0
Memnite | Memnite | Memnite,0.0
