Opponent Decklist,Result
Aether Vial | Karakas | Mangara of Corondor,-1.0
Ajani Vengeant | Crystal Vein | Tinder Farm,-1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Mox Pearl | Rishadan Port",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Mox Emerald | Words of Wilding,-1.0
"Auriok Champion | Phelia, Exuberant Shepherd | Remote Farm",1.0
Blazing Hope | Crawling Chorus | Snow-Covered Plains,0.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
"Boseiju, Who Endures | Mox Emerald | Mutavault",0.0
Dismember | Hammerheim | Heartfire Hero,1.0
Dryad Arbor | Jaddi Offshoot | Mistbreath Elder,1.0
"Dryad Arbor | Karakas | Mikaeus, the Lunarch",1.0
Encroach | Scythe Tiger | Undiscovered Paradise,-0.5
Etched Slith | Peat Bog | Sheoldred's Edict,1.0
Field of Ruin | Selesnya Sanctuary | Treetop Village,0.0
"Fynn, the Fangbearer | Hickory Woodlot | Kappa Tech-Wrecker",0.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Keldon Megaliths | Pithing Needle | Sunken Citadel,1.0
Mishra's Factory | Mox Ruby | Sphere of Resistance,1.0
Mockingbird | Ocelot Pride | Undiscovered Paradise,-1.0
Mountain | Storm World | Wayward Guide-Beast,0.5
