Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Knight of Autumn,0.0
"Ajani, Nacatl Pariah | Boros Garrison | The Tabernacle at Pendrell Vale",1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",0.0
Alpine Moon | Hammerheim | Heartfire Hero,-0.5
"Ancient Tomb | Sandstone Needle | Yidaro, Wandering Monster",1.0
Assassin Initiate | Evil Presence | Swamp,-1.0
Bayou | Dreams of Steel and Oil | Hexdrinker,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Daze | Hexdrinker | Tropical Island,-1.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Dryad Arbor | Dryad Arbor | Dryad Arbor,0.0
"Forsaken City | Senu, Keen-Eyed Protector | Valentin, Dean of the Vein",-1.0
Get Lost | Island Sanctuary | Remote Farm,1.0
Hexdrinker | Savannah | Unwanted Remake,1.0
"Jan Jansen, Chaos Crafter | Tinder Farm | Vault of Whispers",0.0
Karakas | Leyline of Singularity | Mutavault,0.0
Living Conundrum | Mana Vault | Saprazzan Skerry,1.0
Memnite | Memnite | Memnite,0.0
Mox Pearl | Nurturing Pixie | Nurturing Pixie,-1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.5
Ruins Recluse | Rushwood Grove | Swarmyard,1.0
