Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Arcbound Slith | Arcbound Slith,-1.0
Bayou | Hexdrinker | Ruthless Negotiation,-1.0
Blinkmoth Nexus | Forest | Hexdrinker,-1.0
Collective Resistance | Collector Ouphe | Hickory Woodlot,-0.5
Daze | Hexdrinker | Tropical Island,-1.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,-1.0
Gleeful Demolition | Rustvale Bridge | Unwanted Remake,-1.0
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,-1.0
Hickory Woodlot | Scythe Tiger | Serene Remembrance,1.0
Innocent Blood | Mishra's Factory | Mox Jet,-1.0
Inquisition of Kozilek | Subterranean Hangar | Tomb of Urami,-1.0
Legacy's Allure | Saprazzan Skerry | Tide Shaper,-0.5
"Mu Yanling, Sky Dancer | Oboro, Palace in the Clouds | Sol Ring",-1.0
Nature's Claim | Predator Ooze | Rushwood Grove,-0.5
Prairie Dog | Remote Farm | Soul Partition,-1.0
Reassembling Skeleton | Subterranean Hangar | Sudden Edict,0.0
