Opponent Decklist,Result
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",0.0
Alpine Moon | Copperline Gorge | Hexdrinker,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
Bandit's Talent | Mox Jet | Mutavault,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
"Boseiju, Who Endures | Mox Emerald | Mutavault",0.5
Chancellor of the Forge | Dwarven Hold | Fury,0.0
Chancellor of the Forge | Foil | Island,1.0
Chaplain of Alms | Karakas | Leyline of Singularity,1.0
Cruelclaw's Heist | Mox Jet | Swamp,0.0
Daze | Island | Sleep-Cursed Faerie,0.0
Daze | Sleep-Cursed Faerie | Volcanic Island,0.0
Dismember | Hammerheim | Heartfire Hero,0.0
Glint Hawk | Glint Hawk | Mox Pearl,0.5
Hammerheim | Heartfire Hero | Heartfire Hero,-1.0
Invasion of Gobakhan | Mishra's Factory | Mox Pearl,0.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
